u,v,key,image,health_score,condition
1880441495,2839149001,0,202101956674_0d1216c3-98d5-4e69-9d2c-d96fe773e843_jpg.rf.358b61d1789d36669ce869ca95ef3df9.jpg,100.0,GOOD
1880441495,11096646069,0,202101956691_63f6769d-73f9-4aee-9e8b-c3fd4bc31611_jpg.rf.70b30ac644a1ab3a128535a1988094fd.jpg,100.0,GOOD
1880441497,2839149040,0,202102065962_cb41c947-c2e4-4aa7-a922-8181d9a2198c_jpg.rf.87aabf5de3d8b8b5ef5822162865e11d.jpg,100.0,GOOD
1880441505,4393288485,0,202200124037_81f7370b-e22d-43b4-a0a1-3c91ceac1026_jpg.rf.27844498d55f72ae676a4b25d11648f0.jpg,89.9,GOOD
1880441505,7938334087,0,202200135007_358cf572-1921-4bd0-8bb2-479a9829697e_jpg.rf.019a8dc0cbe3a78fa7ce5bcd9c593f22.jpg,100.0,GOOD
1880441505,6354264769,0,202200145299_d8706e94-180d-4caa-a99f-65990fee621f_jpg.rf.c3fcabc1435288b5a37a04d45bf40f3e.jpg,86.45,GOOD
1880441509,7871220139,0,202200339562_9aced007-37b9-4ca4-891d-7dc7368338e6_jpg.rf.0d03181e7afd318b22f8154d2bd6f84b.jpg,53.02,POOR
1880441509,7871220154,0,202200398919_9797c4c6-2df7-4695-bec3-263f9de8b6b5_jpg.rf.d8da36f533752b15ca5a74788f080aa2.jpg,47.95,POOR
1880441510,2282190275,0,25_jpg.rf.9f7d83339362c25c4c426bc1fb89fc6e.jpg,67.48,MODERATE
1880441510,2837579697,0,29_jpg.rf.05d244c3811743690d63a3c122d7ac62.jpg,73.17,MODERATE
1880441514,6354264758,0,2_GH010395-0639_jpg.rf.c9a0c049ce32f42e44fbc998633488fe.jpg,100.0,GOOD
1880441514,6354264768,0,2_GH010395-0667_jpg.rf.d5ea1f6a67d1cdee233885fb4f336e78.jpg,100.0,GOOD
1880441528,7871074775,0,2_GH010395-0669_jpg.rf.4bd393c0c24c79076bb4a60a84155c50.jpg,100.0,GOOD
1880441528,2833253656,0,4-121-_jpg.rf.649d1ef7250c0dc6b454414a6f36259f.jpg,100.0,GOOD
1880441532,4393295467,0,4-122-_jpg.rf.7044bf213ccb9431cd4ea0eacd867a3b.jpg,73.68,MODERATE
1880441532,2600872771,0,4-129-_jpg.rf.1238df59d77e85474c5bb1a35ccdb8a8.jpg,70.11,MODERATE
1880441533,7937864674,0,4-146-_jpg.rf.079c2ec9fc09b7ef9f559d56aabba881.jpg,70.2,MODERATE
1880441533,2839149294,0,4-180-_jpg.rf.e821e0de961322ab8615d26a9102ecb4.jpg,100.0,GOOD
1880441533,2833253661,0,46_jpg.rf.f69fbe3486d729b2c475607f9eebb42c.jpg,100.0,GOOD
1880441533,2841517710,0,47_jpg.rf.f1db71915757c21d10fec20b6fc58ba6.jpg,81.34,GOOD
1880441538,2833253661,0,58_jpg.rf.c4c0ece52033ae4dcf4e2db13e2c1e66.jpg,100.0,GOOD
1880441538,2839149313,0,64_jpg.rf.5eeeb4a6450f69dd03a05bc629162a3f.jpg,100.0,GOOD
1880441538,2833253663,0,72_jpg.rf.13f1e73da9f8215e2a9c553e284c5685.jpg,71.63,MODERATE
1880441538,2839149287,0,74_jpg.rf.be35cb1de8c397a1a56602c66284c2e4.jpg,69.19,MODERATE
1880441541,4643886297,0,7_jpg.rf.50f0b085bea4d65e1c1daca1bed6ec3c.jpg,69.48,MODERATE
1880441560,2833253681,0,86_jpg.rf.54d5d773f968ef67e627c81d533c3e7a.jpg,84.07,GOOD
1880441560,7938167093,0,8_GH010404-042_jpg.rf.b68da5c1512d1facf8cb4ed4ac2821aa.jpg,100.0,GOOD
1880441568,6357870910,0,8_GH010404-050_jpg.rf.a299ae18d9cd12730877de353c6d67d8.jpg,100.0,GOOD
1880441568,6357868966,0,AdobeStock_532473701_Preview_jpeg_jpg.rf.3af41b332976d5014d6027757ef83966.jpg,71.39,MODERATE
1880441575,7937507146,0,China_Drone_000014.jpg,95.24,GOOD
1880441575,7937507147,0,China_Drone_000022.jpg,100.0,GOOD
1880441580,2839149330,0,China_Drone_000023.jpg,100.0,GOOD
1880441580,7871296963,0,China_Drone_000025.jpg,100.0,GOOD
1880441580,2839149375,0,China_Drone_000032.jpg,100.0,GOOD
1880441581,12200612792,0,China_Drone_000038.jpg,100.0,GOOD
1880441581,2833253687,0,China_Drone_000045.jpg,100.0,GOOD
1880441581,2839149346,0,China_Drone_000047.jpg,100.0,GOOD
1880441585,6357868975,0,China_Drone_000053.jpg,100.0,GOOD
1880441585,6357868964,0,China_Drone_000059.jpg,100.0,GOOD
1880441586,2833253685,0,China_Drone_000063.jpg,100.0,GOOD
1880441586,7871074741,0,China_Drone_000065.jpg,100.0,GOOD
1880441586,2833253712,0,China_Drone_000076.jpg,96.32,GOOD
1880441591,1880441617,0,China_Drone_000093.jpg,100.0,GOOD
1880441591,6357870909,0,China_Drone_000099.jpg,100.0,GOOD
1880441591,1880441600,0,China_Drone_000100.jpg,100.0,GOOD
1880441591,7938167120,0,China_Drone_000102.jpg,100.0,GOOD
1880441596,2841299202,0,China_Drone_000106.jpg,100.0,GOOD
1880441596,7938167116,0,China_Drone_000108.jpg,100.0,GOOD
1880441596,2833253704,0,China_Drone_000117.jpg,100.0,GOOD
1880441596,2833253687,0,China_Drone_000120.jpg,100.0,GOOD
1880441600,1880441725,0,China_Drone_000126.jpg,93.7,GOOD
1880441600,2833253708,0,China_Drone_000141.jpg,100.0,GOOD
1880441600,6357868967,0,China_Drone_000143.jpg,100.0,GOOD
1880441600,1880441591,0,China_Drone_000148.jpg,100.0,GOOD
1880441612,2833253709,0,China_Drone_000152.jpg,100.0,GOOD
1880441612,7871074732,0,China_Drone_000156.jpg,100.0,GOOD
1880441612,2833253752,0,China_Drone_000158.jpg,97.87,GOOD
1880441614,11593975923,0,China_Drone_000159.jpg,100.0,GOOD
1880441614,6354265184,0,China_Drone_000169.jpg,100.0,GOOD
1880441617,2841517741,0,China_Drone_000174.jpg,100.0,GOOD
1880441617,2833253749,0,China_Drone_000180.jpg,100.0,GOOD
1880441617,1880441591,0,China_Drone_000188.jpg,96.86,GOOD
1880441617,2841299204,0,China_Drone_000211.jpg,98.0,GOOD
1880441712,1880441720,0,China_Drone_000213.jpg,100.0,GOOD
1880441712,4393296791,0,China_Drone_000227.jpg,100.0,GOOD
1880441712,12198741092,0,China_Drone_000229.jpg,97.98,GOOD
1880441712,4393295487,0,China_Drone_000242.jpg,100.0,GOOD
1880441714,3777944395,0,China_Drone_000247.jpg,100.0,GOOD
1880441714,12198712651,0,China_Drone_000251.jpg,100.0,GOOD
1880441720,2837580344,0,China_Drone_000270.jpg,100.0,GOOD
1880441720,1880441712,0,China_Drone_000277.jpg,100.0,GOOD
1880441720,4393296798,0,China_Drone_000285.jpg,72.32,MODERATE
1880441720,6354265104,0,China_Drone_000288.jpg,100.0,GOOD
1880441725,2833253737,0,China_Drone_000291.jpg,97.66,GOOD
1880441725,2833253769,0,China_Drone_000292.jpg,100.0,GOOD
1880441725,1880441600,0,China_Drone_000297.jpg,100.0,GOOD
1880441725,7911517129,0,China_Drone_000299.jpg,96.39,GOOD
1880441740,4393296791,0,China_Drone_000304.jpg,100.0,GOOD
